Energies generated by autodE on, 2023-05-09. Single point energies at PBE0-D3BJ/ma-def2-TZVP and optimisations at PBE0-D3BJ/ma-def2-SVP,,,
Species,E_opt,G_cont,H_cont,E_sp
ox0_dehal-BTZ,-1556.12737955279,0.283934516537249,0.351235705851998,-1557.49657253788
ox1_TFK-718,-1822.85418634166,0.348406085505932,0.428376696296014,-1824.51277501216
ox2_TFK-661,-1878.03782977194,0.36243451260023,0.445751571749527,-1879.75429920859
ox3_TFK-449,-4129.07856183908,0.270924220129333,0.342385917424668,-4130.75753527716
ox4_TFK-483,-1648.19343408794,0.280559670280975,0.351516763096412,-1649.66357842164
ox5_TFK-659,-1878.11658439158,0.365433386932179,0.447768924928283,-1879.83120786166
ox6_TFK-660,-1803.00912391779,0.36035776668082,0.440846569787021,-1804.63930827156
ox8_TFK-710,-2119.96813256834,0.335683621163718,0.420015764801212,-2121.63663822001
ox9_TFK-719,-1862.10010952532,0.374991102046707,0.457549153920237,-1863.79855709659
ox10_TFK-726,-1724.54741842593,0.306210923718503,0.381458750946276,-1726.09838166822
ox11_TFK-471,-1853.23977018896,0.26976844219774,0.342024840573599,-1854.61851678589
ox12_TFK-543,-1783.60776954084,0.321330272560193,0.398614442226644,-1785.22643128003
ox13_TFK-727,-1763.78124706351,0.332466660293997,0.411376162830677,-1765.37162962917
ox14_BTZ-043,-1892.61687801724,0.284028811607059,0.359638739443604,-1894.37626810941
ox0_dehal-BTZ_solv,-1556.12737955279,0.283934516537249,0.351235705851998,-1557.52135352395
ox1_TFK-718_solv,-1822.85418634166,0.348406085505932,0.428376696296014,-1824.54126625604
ox2_TFK-661_solv,-1878.03782977194,0.36243451260023,0.445751571749527,-1879.78730441117
ox3_TFK-449_solv,-4129.07856183908,0.270924220129333,0.342385917424668,-4130.78154771038
ox4_TFK-483_solv,-1648.19343408794,0.280559670280975,0.351516763096412,-1649.69296704999
ox5_TFK-659_solv,-1878.11658439158,0.365433386932179,0.447768924928283,-1879.86777955227
ox6_TFK-660_solv,-1803.00912391779,0.36035776668082,0.440846569787021,-1804.67142353022
ox8_TFK-710_solv,-2119.96813256834,0.335683621163718,0.420015764801212,-2121.66646983734
ox9_TFK-719_solv,-1862.10010952532,0.374991102046707,0.457549153920237,-1863.82687578381
ox10_TFK-726_solv,-1724.54741842593,0.306210923718503,0.381458750946276,-1726.13309450812
ox11_TFK-471_solv,-1853.23977018896,0.26976844219774,0.342024840573599,-1854.64284546666
ox12_TFK-543_solv,-1783.60776954084,0.321330272560193,0.398614442226644,-1785.25546155359
ox13_TFK-727_solv,-1763.78124706351,0.332466660293997,0.411376162830677,-1765.40419248494
ox14_BTZ-043_solv,-1892.61687801724,0.284028811607059,0.359638739443604,-1894.40100946487
red0_dehal-BTZ,-1556.19093642815,0.280955633961488,0.348376913348511,-1557.55600631471
red1_TFK-718,-1822.92237537447,0.345008090705333,0.425433273904271,-1824.57680972013
red2_TFK-661,-1878.10463110315,0.358530509700367,0.442672340028023,-1879.8171345253
red3_TFK-449,-4129.15136768331,0.267725506417078,0.339605838834961,-4130.82637905693
red4_TFK-483,-1648.27465905856,0.277274919561639,0.348799231065341,-1649.74062202821
red5_TFK-659,-1878.19096516401,0.363005847822847,0.44483868227119,-1879.89417855197
red6_TFK-660,-1803.07675353211,0.356620453831394,0.437752892213319,-1804.70286374769
red8_TFK-710,-2120.04132692582,0.33229523097936,0.417116717028487,-2121.70570430349
red9_TFK-719,-1862.16792761422,0.371877325088054,0.454646143647901,-1863.86221711253
red10_TFK-726,-1724.61683986499,0.303472166131367,0.378701078035693,-1726.16357998829
red11_TFK-471,-1853.31262650842,0.26647796141861,0.339292649700122,-1854.68194973851
